Date,Open,High,Low,Close,Adj Close,Volume
2017-07-01,null,null,null,null,null,null
2017-08-01,74.430000,77.750000,74.110001,75.379997,73.953224,15752000
2017-09-01,75.480003,78.309998,73.349998,77.570000,76.101776,17096400
2017-10-01,77.669998,78.070000,71.769997,72.650002,71.639137,30434700
2017-11-01,73.019997,79.849998,71.650002,75.970001,74.912941,28662900
2017-12-01,79.459999,80.139999,74.949997,76.830002,75.760979,16263700
2018-01-01,77.150002,83.290001,76.470001,80.910004,80.173752,20060600
2018-02-01,80.309998,82.709999,72.980003,80.750000,80.015205,24686700
2018-03-01,81.000000,87.000000,79.050003,86.220001,85.435432,16989400
2018-04-01,86.220001,89.760002,84.459999,88.320000,87.912270,21613900
2018-05-01,88.010002,94.330002,84.959999,91.860001,91.435928,20747400
2018-06-01,92.639999,96.190002,90.660004,91.269997,90.848648,20527400
2018-07-01,91.290001,92.919998,89.699997,91.180000,91.180000,3220900
2018-07-10,90.779999,91.440002,90.650002,91.180000,91.180000,226664
